count,x distance,y distance,theta
1.0,0.0,0.0,0.0
2.0,-0.030931889543796054,4.237273128779307,-0.09871643831115062
3.0,-0.12842833130069878,13.810825130805988,0.003063262215820151
4.0,-0.294122604526476,23.24357655524298,-0.19571941796802703
5.0,-0.48045001843825935,32.55814342974356,-0.23311611873118965
6.0,-0.6938635056360932,41.6676271389413,-0.13895773529176025
7.0,-0.7241061650235423,51.130757118327885,0.08150557824785026
8.0,-1.6928093266122146,59.596448077330614,-3.6408044837062903
9.0,-4.57856395423009,66.38719146782361,-11.807544419708604
10.0,-8.468260054250267,72.85046109332116,-20.329662921472618
11.0,-13.042862677843765,78.62652443240727,-28.5028832108522
12.0,-18.46784210695848,83.76745513451615,-36.565024528023265
13.0,-24.593580652713957,88.01805314798173,-44.32002834123068
14.0,-31.33893998737051,91.41381728152358,-52.379018395743074
15.0,-38.317603898140135,93.84040277341113,-60.34067710807516
16.0,-45.85923348286221,95.20827739977317,-68.92225067013375
17.0,-53.37195182154738,95.54213808670154,-77.34035546946826
18.0,-60.64446025463711,94.95311072380873,-85.16290987112575
19.0,-68.74679437362752,92.98400089475396,-93.8874005616961
20.0,-75.8599852419518,90.00740460360544,-102.04416665188393
21.0,-82.28165571361019,86.2497761413504,-110.1961989923124
22.0,-87.93828258888759,81.67484020739751,-118.6514438845233
23.0,-93.12369452416593,76.07179988980735,-126.97191623416629
24.0,-97.33178086484892,69.8985337146388,-135.0500003474819
25.0,-100.79858258055043,63.05703478131803,-143.31200501284823
26.0,-103.17795179945702,55.81412224953332,-151.78834730094687
27.0,-104.51815686028088,48.40298711771439,-159.60514647844107
28.0,-104.85754292329725,40.85634742384275,-167.75639877393857
29.0,-104.07639843522891,33.17265520259242,-175.6778698295387
30.0,-102.2175557943805,25.71193321116968,-183.55701021267993
31.0,-99.32659110485599,18.697807982171184,-191.6881787977527
32.0,-95.34898876774623,11.933138392266232,-199.83790758866726
33.0,-90.22181391798505,5.607641475834782,-209.11455906459904
34.0,-84.54786012312248,0.2319843897888375,-216.9993779982241
35.0,-78.11324240192904,-4.30482766050779,-225.3150679520024
36.0,-71.06809847841748,-7.739608704322237,-233.56221737950736
37.0,-63.381630791511455,-10.126075473292284,-241.99015573717614
38.0,-55.44377856034262,-11.412105893111283,-250.69958267634587
39.0,-47.20025068928552,-11.39032049471631,-259.85584225010246
40.0,-38.90584086786085,-10.152383825501408,-268.7419781824363
41.0,-31.276146882800262,-7.8091665681476075,-277.14894382526313
42.0,-23.8163504179553,-4.045809495748628,-285.84261563165643
43.0,-17.092811545587132,0.6937909709066424,-294.6988840879303
